motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
PO5F1_HUMAN.H11MO.0.A,NA,NA,NA,NA,TFAP2A;TFAP2C;TFAP2E;ARID3A;ARID5B;HMGA2;SETBP1;SRCAP;FAM200B;ZBED3;ZBED5;ZBED6;AHR;ASCL3;BHLHA15;BHLHE40;BHLHE41;CCDC169-SOHLH2;HES1;HES6;HES7;HEY1;MSC;MXD4;MYC;NCOA3;SOHLH1;TFEB;USF2;AC023509.3;ATF1;ATF6;ATF6B;BACH1;BATF;BATF3;CEBPG;CREB3;CREBL2;CREBZF;DDIT3;FOS;FOSL2;JDP2;MAFK;NRL;XBP1;AC008770.3;AEBP2;AKAP8;EGR2;EGR3;HIVEP2;KLF10;KLF13;KLF3;KLF4;OVOL1;OVOL2;PLAGL1;PRDM1;PRDM4;REST;SNAI2;SP2;SP6;TSHZ3;ZBTB14;ZBTB21;ZBTB22;ZBTB26
NANOG_HUMAN.H11MO.0.A,NA,NA,NA,NA,TFAP2A;TFAP2C;TFAP2E;ARID3A;ARID5B;HMGA2;SETBP1;SRCAP;FAM200B;ZBED3;ZBED5;ZBED6;AHR;ASCL3;BHLHA15;BHLHE40;BHLHE41;CCDC169-SOHLH2;HES1;HES6;HES7;HEY1;MSC;MXD4;MYC;NCOA3;SOHLH1;TFEB;USF2;AC023509.3;ATF1;ATF6;ATF6B;BACH1;BATF;BATF3;CEBPG;CREB3;CREBL2;CREBZF;DDIT3;FOS;FOSL2;JDP2;MAFK;NRL;XBP1;AC008770.3;AEBP2;AKAP8;EGR2;EGR3;HIVEP2;KLF10;KLF13;KLF3;KLF4;OVOL1;OVOL2;PLAGL1;PRDM1;PRDM4;REST;SNAI2;SP2;SP6;TSHZ3;ZBTB14;ZBTB21;ZBTB22;ZBTB26
SOX2_HUMAN.H11MO.1.A,NA,NA,NA,NA,TFAP2A;TFAP2C;TFAP2E;ARID3A;ARID5B;HMGA2;SETBP1;SRCAP;FAM200B;ZBED3;ZBED5;ZBED6;AHR;ASCL3;BHLHA15;BHLHE40;BHLHE41;CCDC169-SOHLH2;HES1;HES6;HES7;HEY1;MSC;MXD4;MYC;NCOA3;SOHLH1;TFEB;USF2;AC023509.3;ATF1;ATF6;ATF6B;BACH1;BATF;BATF3;CEBPG;CREB3;CREBL2;CREBZF;DDIT3;FOS;FOSL2;JDP2;MAFK;NRL;XBP1;AC008770.3;AEBP2;AKAP8;EGR2;EGR3;HIVEP2;KLF10;KLF13;KLF3;KLF4;OVOL1;OVOL2;PLAGL1;PRDM1;PRDM4;REST;SNAI2;SP2;SP6;TSHZ3;ZBTB14;ZBTB21;ZBTB22;ZBTB26
